Title,Year,Location,Description,Tag,Images.1,URL,Building or project owner,Architecture,Project artist/ concept/ design/ planning,Structural engineering,Light design,Technical layout light,Display content/ visuals/ showreel,Light hardware (LED hardware),Lighting control software,Interaction design/ programming,Facade type and geometry (structure),Kind of light creation,Resolution and transmitting behaviour,Urban situation,Description of showreel,Mediacredits,Project co-ordination,Project sponsor/ support,Community or communities involved,Legal form,Issues addressed,Impact,Tools developed,Tools used,Next steps,Host organization,Facade design,Facade construction,Kinetic engineering,Membrane skin,Pixel distance,Luminace,Pixel or other basic module/ elements
KIPNES LANTERN,2017,"Canada, Ottawa",Rejuvenating Canada's National Arts Centre,"['#Canada', '#2017', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/28/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/28,"National Arts Centre, Ottawa",Diamond Schmitt Architects,Oneoverchaos/Alex Doss,Cleland Jardine Engineering,,ClearLED,Oneoverchaos/Alex Doss/Moment Factory,ClearLED,ClearLED,Moment Factory,"The Kipnes Lantern is shaped as a three-storey hexagonal glass tower, echoing the existing building's geometry.",,,"The Kipnes Lantern is intended to transform a mid-century Brutalist structure into a more open and inviting facility. The building had faced the Rideau Canal, rather than Ottawa's downtown core, ever since it opened in 1969. One of the goals of the renewal was to move the facility's front door to Elgin Street.","Moment Factory's content framework provides a unique platform for the venue to showcase content from partners across the country, while bringing the NAC's seasonal artistic program to life in an engaging and informative way. Images and videos are easily integrated and transformed into dynamic visuals highlighting NAC events and Canada's diversity of talent.","Moment Factory, Moment Factory, Moment Factory, ClearLED, Diamond Schmitt Architects, ClearLED",ClearLED,Dr. Dianne Kipnes and Mr. Irving Kipnes,"Ever since the opening of the Kipnes Lantern, the National Arts Centre has been using this new permanent installation to show off its spirit and community support. E.g., during October screens were designed to support World Mental Health Day and this support has been noticed and captured on multiple social media platforms. From fantastical stage designs to virtuosic animated performances, this digital media facade enables architecture to tell the evolving story of the arts in Canada.",,"The architecture of the new National Arts Centre building is uniquely shaped as a giant lantern. To light up the space, ClearLED was challenged with designing custom screens to fit the space precisely and deliver the maximum transparency and brightness. An additional hurdle was to ensure the components were lightweight, sturdy, and accessible for maintenance. The four blades had to be waterproof and withstand cold and wet Ottawa outdoor weather conditions.","Special content was developed to recognize events of national importance, including National Indigenous Peoples Day, Canada Day and Remembrance Day.",Content Management Interface,"Christie's Pandora Box Media Server, Novastar LED control software, Cinema 4D stage visualization, AutoCAD, SolidWorks, After Effects",Further develop the content management platform and allow the Lantern and the Light Blades are the true canvas for everyone. Inviting artists nationally and internationally to participate in the media facade creation.,,ClearLED,ClearLED,,,"16mm pixel pitch for the ""Lantern""; and 6mm pixel pitch for the ""Light Blades""",,
ARENA,2018,"Canada, Kitchener","interactive sound sculpture as ""Speakers Corner"" for people to express themselves in public spaces","['#Canada', '#2018', '#Future trends & prototypes', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/33/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/33,Benoit Maubrey,Jan Fuhrmann,Benoit Maubrey,"Rex Lingwood, Jago Whitehead",,,,,,Johnny Camara,Amphitheater structure,,,"public space / City Hall Kitchener, Canada",,"B. Maubrey, B. Maubrey, B. Maubrey, Lea Clarin, B. Maubrey",Gordon Hatt,"Cafka, Kitchener Canada","the public, local arts organizations, and social communities",,"public speech, recycling awareness",interaction of local communities,App for people to call up and express themselves in a public space,"Bluetooth, smart phones, amplifiers, 320 reycled loudspeakers, e-waste, cables, microphone.",further exhibition in other countries and cities,"Cafka, Kitchener Canada",,,,,,,
SALLING LIGHTS,2017,"Denmark, Aarhus & Aalborg",Interactive media facades,"['#Denmark', '#2017', '#Branded Architecture', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/35/2_big.jpg,https://awards.mediaarchitecture.org/mab/project/35,Salling Group,C.F. Mí¸ller,Kollision Design Office,,Kollision Design Office,Kollision Design Office,,Martin by Harman,KOLLISION MAP,Kollision Design Office,"Linear, individually controllable LEDs mounted on existing facade.",Light emitting diodes,"Linear LEDs, mounted at varying intervals",Both facades are placed at main shopping streets / urban centers i Aarhus and Aalborg.,"Content is dynamic, interchangeable sometimes interactive, controlled by Kollision's MAP software (Media Architecture Platform).","Photo by Kollision Design Office, Photo by Kollision Design Office, Photo by Kollision Design Office, Movie by Kollision Design Office, Movie by Kollision Design Office",Kollision Design Office,Salling Fondene (Salling Foundation),The project was developed in close collaboration with the Municipality of Aarhus and Aalborg being the first of its kind in both cities. It was realised in close collaboration with the client and based on a participatory design process including citizens.,,"Retail shopping is moving in a direction towards being more experience oriented to compete with online shopping. The facade reflects the surrounding urban situation, events, weather etc. It is not used for commercial marketing in agreement with the local municipalities. At special events citizens are invited to e.g. draw on the facade, make statements through sms or engaging in simple games.","The facade provides and enhanced brand ambience for the respective shopping centers, effectively allowing them to communicate with their urban surroundings and promoting local events such as festivals and also make statements in relation to special occasions, e.g. national holidays, sports etc.",,MAP software (Media Architecture Platform),Continuous development of new content and interactive experiences for special occasions.,Salling Group,,,,,Varying,,
DIGITAL CALLIGRAFFITI,2017,"Germany, Berlin",Digital Calligraffiti - a responsive urban media art platform for community building,"['#Germany', '#2017', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/38/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/38,The project is initiated by Public Art Lab in cooperation with From Home to Fame Publishing and the artists Michale Ang and Hamza Abu Ayyash,,The project is initiated by Public Art Lab in cooperation with From Home to Fame Publishing and the artists Michale Ang and Hamza Abu Ayyash,Michael Ang,,,Public Art Lab in collaboration with calligraffiti artists,,,"Michael Ang, Hamza Abu Ayyash",Projection or urban screens,projected light painting and drawing (calligraffiti) facilitated by the Inflector which is an interactive light table for realtime drawing,high resolution,Digital Calligraffiti can be adapted to any urban social context.,Digital Calligraffiti is interactive projection performance that provides a platform for realtime writing and drawing meaningful statements by the citizens facilitated by calligraffiti artists and the interactive light table called Infl3ctor. It can also create a networked projection performance between differnet venues / cities when an inl3ctor is set up in two places.,"Picture: Public Art Lab, photos: Ruthe Zuntz, Public Art Lab, Film: Jara Balonga",,European Union / Creative Europe Program,Digital Calligraffiti was originally developed for the migrating 'newcomers' in Berlin. However it can provide a platform for all social groups (including children) and can also facilitate a translocal dialogue beyond physical borders. The written statements from two cities will 'meet' on the projections wall / screen and are visualised through different colours.,non-profit association,- providing a participatory platform for civic engagement - encouraging citizens to give statements to social relevant issues - giving a voice to socially disadvantaged people - learning to writte calligraffiti tags as an aethetic form - creating a translocal dialoge between different venues / cities / cultural worlds - creating a sitation of shared encounters - reclaiming screens with calligraffiti statements with a high outreach in the cities' everyday life - generating an artistic ecosystem from the co-design process in workshops / interactive public performance s/ reclaiming screens with the morst meaningful statements (urban media art campaigning with a 30 sec trailer) / translocal dialogue through networked performances / designing T-Shirts with the best messages,Digital Caligraffiti is a good showcase for an urban art project that can contribute politically and socially meaningful messages on large scale digital infastructures with a high outreach to create awareness for emmergent themes of our daily urban life.,- a cross-disciplinary format of analogue drawing and technically mediated art - adaptable tool for different social contexts - interactive light table (Infl3ctor) connected to a computer with VJ software connected to a beamer or screen,- Infl3ctor an interactive urban interface,Digital Calligraffiti is invited workdwide to different frameworks as a civic platform for engagement and translocal exchange,Public Art Lab,,,,,projection,,
MONUMENT REMIX,2018,"Brazil, Sao Paulo",Using projection mapping to remix a controversial historical monument in to a image to inspire Brazilians in the 21th century,"['#Brazil', '#2018', '#Spatial media art', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/41/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/41,Sao Paulo Light Festival,"Brecheret's monument, sculpture, ""Monumento `as Bandeiras""",Visualfarm Studio,Brecheret,Alexis Anastasiou,Alexis Anastasiou,Visualfarm,,Pandoras Box Coolux,Sergio Cordoba,"Monument to the Bandeiras (The Monument to the Flags) is a large-scale sculpture by the Italian-Brazilian sculptor Victor Brecheret (1894-1955) at the entrance of Ibirapuera Park in Sí£o Paulo, Brazil.[1] It was commissioned by the government of Sí£o Paulo in 1921 and completed in 1954. It commemorates the 17th-century bandeiras, or settling expeditions into the interior of Brazil. (wikipedia)","A mix of projection mapping (200 lux) on the monument and white led lights aimed at the audience pupil, all synced on a Coolux Pandoras Box Media server, with timecode being wirelessly sent from both sides of the avenue.","Content projected was 30 frames per second, with resolution of 5400 x 1200 pixels, being sent by way of fiber opctics to 7 projectors totaling 170.000 ansilumens.","The monument was erected in the south-central area of the city in the Praíça Armando Salles de Oliveira (Armando Salles de Oliveira Square), opposite the Palácio 9 de Julho, headquarters of the Legislative Assembly of the State of Sí£o Paulo. The monument, given its size and location, has now become an integral part of the landscape of Sí£o Paulo. (Wikipedia)","Visualfarm is a Sao Paulo based studio that has been one of the pioneers of projection mapping in Brazil, using its large technical expertise to push the boundaries of large scale and innovative approaches in the filed. Visualfarm won a Best Outdoor Instalation award in Infoccom Orlando in 2012 as well as a Cannes award for the Christ Statue Projection Mapping insulation in 2011.","Ignacio Aronovich, Ignacio Aronovich, Ignacio Aronovich, Ignacio Aronovich, Ignacio Aronovich",Alexis Anastasiou,GetNet - Santander Bank,Sao Paulo Light Festival and Sao Paulo inhabitants.,,"Sao Paulo inhabitants had a chance to see in a new way the monument, that used to be quite hated and suffered several guerrilla interventions with tagging, paintings and such (these interventions were also addressed in the first part of the mapping). Also, the installation had a place-making quality to it, in a way that attracted pedestrians to come and occupy parts of the square that were mostly surrounded by cars.","Attracting around 40.000 during 3 nights to watch the projection and achieving high visibility with live coverage by TV networks, the installation helped change the way Sao Paulo inhabitants relate to this monument, also with hight impact in social media. The highly sucessfull installation also helped attracted visitors to the other installations for the Sao Paulo Light Festival.","Optical illusions created by the interaction of projection mapping and light, in such a way that create a statue to gain life by manipulating what the audience can or can not see. Also, the content was all tested and developed using a small scale model of the statue 3d printed from a 3d model created by imagery captured from a drone.","Pandoras Box Media-server, 7 projectors totaling 170 ansilumens, led lights, sound systems, wifi time-code syncing .","Being less than 5 minutes long, we plan to create a second and third act in the same monument, for next year edition of the Festival.",Sao Paulo Light Festival - First Edition,Brecheret,Sao Paulo Government,,,8mm was the size of each pixel.,,
FEDERATION SQUARE DIGITAL CANVAS,2018,"Australia, Melbourne","Melbourne-based art studio Ramus, sought to transform the traditional media screen into an immersive, expressive canvas.","['#Australia', '#2018', '#Participatory Media Architecture and Infrastructures', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/45/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/45,Federation Square Pty Ltd,JMA Architects,Ramus,Lambert & Rehbein,Ramus,Ramus,Ramus,Big Screen Projects,Ramus and Iion,Iion,High resolution LED screens are customized and integrated into the zinc facade of Federation Square.,"Media Architecture facade with the capability for visuals to be influenced by the weather and human interactivity. This facade contains a highly curated content programme which consists of user-generated content, content by light artist Bruce Ramus and studio, emerging artists and an iconic indigenous Australian artist.","The digital canvas consists of a curated content program, an LED multiscreen platform and a custom control system, forming one powerfully responsive digital experience. We present a contemporary art platform that slows Melbourne's city rhythm and reconnects people to the space and each other.","The digital canvas is located in one of Melbourne's central meeting place, along the Yarra River and across from Flinders St Station. Federation Square covers an area of 3.2 ha (7.9 acres) at the intersection of Flinders Street and Swanston Street built above busy railway lines. Federation Square has been embraced by locals and visitors. with more than 10 million visitors yearly.",See Federation Square's digital canvas up close.,"Ramus, Ramus, Ramus",Ramus,Victorian Government,"The curatorial process for educational institutions involved a two-fold engagement process. The first was to establish relationships and collaborate with University connected research institutes and design hubs to generate and re-image content and the second was an opportunity for Departments and Faculty Heads to develop programs for students to respond to and utilize the innovative platform. The digital canvas serves as a public platform for creative and artistic expression, hosting a curated gallery of works by emerging and established artists. A featured work is to be a digital interpretation of All the Fish by renowned Australian Indigenous artist, Mirdidingkingathi Juwarnda Sally Gabori, created through a deeply culturally considerate process, with the support of Gabori's family. The digital canvas expresses an inclusive, diverse story of Australia, providing a large, accessible platform to express each artists' vision and intent.",Please contact me for more details.,"To ensure Ramus undertook a culturally considered approach, the curatorial process for content created by cultural and social community groups began by engaging with community representational organizations, This was to meaningfully and responsibly engage with diverse communities to generate and curate content that expressed the vision and voices of the people of Melbourne and Victoria.","Ramus also engaged RMIT university to create content, in an ongoing commitment to not just serve, but also involve the community in the canvas' evolution. Artistic Director Bruce Ramus hosted a series of content development lectures with RMIT University students, teaching them how to develop content to a professional level and instigating their interest in a potential future income stream, as they","Processes - Cultural content curation engagement process, educational content engagement process","Software - Custom control to support weather-reactive content, interactivity controls, the ability to add real-time user-generated content",There is a limitless potential to involve more emerging artists and push the boundaries by creating more purpose-built responsive new media art.,Ramus,JMA Architects,Federation Square Pty Ltd,Lambert & Rehbein,JMA Architects,High definition 6mm pitch,,
WATERLIGHT GRAFFITI,2012,"France, Poitiers",led wall reacting to the water,"['#France', '#2012', '#Future trends & prototypes']",https://awards.b-cdn.net/site_media/media/jurysys/media/46/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/46,,,Antonin Fourneau,Jordan McRae and Guillaume Stagnaro,Antonin Fourneau,Antonin Fourneau and Jordan McRae,,HanuaLED,,,A Waterlight Graffiti Wall is made of square panels in black mat material. The component are solder in a specific manner to obtain a perfectly flat surface. This process require 80% of manual work. In the futur we would like to find an industrial partner to design more specifically the LEDs to optimise the production process.,We have created a sensor specifically for this project so that the LEDs light up according to the amount of water around them.,A Waterlight Graffiti Wall is made of 40x40cm panels. This format allows us to adapt our prototype demonstration.,"Waterlight Graffiti is a new type of playable material that can be fixed as much on buildings to react with rain, on the ground to practice the Dishu or in the school wall to draw on the walls without dirtying.","A demonstration of the first exhibition of the project where we use brushes, sponges and water pistol to draw.","Antonin Fourneau, Charles Ayats, Quentin Chevrier, Antonin Fourneau, Antonin Fourneau, Adrien Frappat",,,This project is for everyone. All the exhibitions and demonstrations that we have done prove it: people like to draw or at least scribble.,microbusiness currently (in the process of changing status to grow and industiralised.),change the process of construction. We know how to do just need to find the factory partner.,After more than 80 demonstartion around the world we often have requests from people who would like to install it on their wall. If we have not stopped exhibiting it for 7 years it seems that the impact on people is pretty good.,,Eagle PCB software + Rhino 3D design software and PCB production,We are currently working with several manufacturers to optimize the scope of manufacturing to make the equipment widely accessible to the general public. We have also developed prototypes that will allow us to install it on the ground if we find a manufacturer of composite materials ready to follow us in the adventure.,"Design week New York, Light Festival Lyon, Light Festival Hong Kong, CES Las Vegas, ....",Antonin Fourneau,,,,The resolution is currently 2cm pitch but we hope to increase this resolution with a research partner.,,
YAGAN SQUARE,2018,"Australia, Perth","Ramus represnts an inclusive, welcoming and active cultural experience through light and media integration, representative of a diversity of the local Perth region and broader Western Australia.","['#Australia', '#2018', '#Participatory Media Architecture and Infrastructures', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/47/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/47,"Lyons Architects, MRA",Lyons Architects,Lyons Architects,Hera Engineering,Ramus,Ramus,Ramus,Light Application,Ramus and Iion,Iion,"Ramus' contribution is four installations, three low resolution and one high resolution. The first two low resolution displays are integrated into the canopies over the amphitheatre and represent the ancient lake which once ran through Perth. The canopies are skinned with light on both sides and the movement and colour of the LEDs are programmed to gently act as a further activated texture.","Yagan Square is a series of integrated digital and light installations connected through the cultural narrative of the precinct. The high resolution large format screen is the core of the communal space, featuring curated visual content. The low resolution textures form visual shapes and ambient colour combinations that support the cultural narrative of the space.","Ramus' contribution is four installations, three low resolution and one high resolution. The first two low resolution displays are integrated into the canopies over the amphitheatre and represent the ancient lake which once ran through Perth. The canopies are skinned with light on both sides and the movement and colour of the LEDs are programmed to gently act as a further texture in activating the","The concepts are representative of the ideas of convergence of geologies, tracks, narratives, indigenous and non-indigenous people and culture within the Square. The digital media and lighting experience was delivered in collaboration with the Whadjuk Working Party, to provide a place for people to ""meet, discover and celebrate Western Australia's unique local produce, culture and heritage.""",See the total immersive experience of Yagan Square. https://vimeo.com/139526174,"Peter Bennetts, Peter Bennetts, Peter Bennetts, Ramus",Ramus,,"For the high-resolution curved media screen, Ramus illustrated a digital artwork by Shane Pickett, who was one of the foremost Nyoongar artists. Combining his deep knowledge and concern for Nyoongar culture with a confident and individual style of gestural abstraction. Ramus undertook a culturally considered approach, the curatorial process for content created by cultural and social community groups began by engaging with community representational organizations. Ramus felt it was imperative to meaningfully and responsibly engage with diverse communities to generate and curate content that expressed the vision and voices of the people connected to the area. Ramus also engaged SAE Creative Media Institute students to create content in an ongoing commitment to not just serve, but also involve the community in the evolution of Yagan Square. Students had the opportunity to team up with Ramus Illumination to create content for the new digital tower, giving students a unique highly visible platform to showcase their works. 'The River Project' saw film and animation students creating short works highlighting the Swan River and it's presence in the City of Perth.",Please contact me for more details.,"To ensure Ramus undertook a culturally considered approach, the curatorial process for content created by cultural and social community groups began by engaging with community representational organizations, This was to meaningfully and responsibly engage with diverse communities to generate and curate content that expressed the vision and voices of the people of Perth and Western Australia.",The curatorial process for educational institutions involved a two-fold engagement process. The first was to establish relationships and collaborate with University connected research institutes and design hubs to generate and re-image content; and the second was an opportunity for Departments and Faculty Heads to develop programs for students to respond to and utilize the innovative platform.,,,There is a limitless potential to involve more emerging artists and push the boundaries by creating more purpose-built responsive new media art.,Ramus,Lyons Architecture,Doric Group,Hera Engineering,Ramus,Pixel distances are varied between high and low resolution. The high-resolution screen contains a high definition 6mm pitch.,,
SMOG FREE PROJECT,2018,"China, Netherlands, Poland, Opened in Beijing, Tianjin, Dalian, Rotterdam, Krakow",SMOG FREE PROJECT is a series of urban innovations led by Daan Roosegaarde to reduce pollution and provide an inspirational experience of a clean future.,"['#China', '#Netherlands', '#Poland', '#2018', '#Future trends & prototypes', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/53/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/53,Studio Roosegaarde,Studio Roosegaarde,Daan Roosegaarde,,,,,,,,NA,NA,NA,NA,NA,"Studio Roosegaarde, Studio Roosegaarde, Studio Roosegaarde, Studio Roosegaarde, Studio Roosegaarde","ENS Technology, Advisor Ursem (until 2013,)","China Central Government, Embassy of the Kingdom of the Netherlands in China, ING Poland, Film Method Works, City of Rotterdam, Stichting Doen, Port of Rotterdam, M4H and IABR.","SMOG FREE PROJECT is a series of urban innovations led by Daan Roosegaarde to show the beauty of clean air. As a tangible souvenir, Roosegaarde creates SMOG FREE RINGS made from the compressed smog particles collected from the SMOG FREE TOWER. By sharing the SMOG FREE RING you donate a 1000 m3 of clean air to the city. The profit of the SMOG FREE RING sales is used to develop more smog free solutions. In addition, Smog Free Dialogues are set up to activate local governments, makers, NGOs to develop new solutions. The project follows Roosegaarde's ethos to make people part of the solution instead of the problem, and use creativity and technology to improve life today.",,,"The impact has been huge with thousands of visitors and global media coverage. The project follows Roosegaarde's ethos to make people part of the solution instead of the problem, and use creativity and technology to improve life today.",,,"More concepts will be added along the journey towards smog free cities. Together with long-term projects of the central government, the Smog Free Project wants to create impact now. The project follows Roosegaarde's ethos to make people part of the solution instead of the problem, and use creativity and technology to improve life today.",,,,,,NA,,
DIGITAL NEIGHBOURHOOD,2017,"Denmark, Aarhus",To involve and enter into a dialogue with citizens in new ways,"['#Denmark', '#2017', '#Future trends & prototypes', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/68/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/68,"City of Aarhus, Citizens' Services",,"Interactive Spaces Lab at the Alexandra Institute and City of Aarhus, Citizens' Services",,Interactive Spaces Lab at the Alexandra Institute,,Interactive Spaces Lab at the Alexandra Institute,Interactive Spaces Lab at the Alexandra Institute,Interactive Spaces Lab at the Alexandra Institute,Interactive Spaces Lab at the Alexandra Institute,"The prototype is constructed in 4 different modules; the box with hardware/screen/keyboard, a roof that shields the sun and creates privacy, a column to carrie the box and a concrete bottom to balance the installation. The 4 modules can be separated to easily move the prototype around between different neighbourhoods.","The prototype is equipped with an interactive light response. When people get closer to the prototype, it lights up in order to encourage people to use it. There is a sensor placed on the box, that reacts on movement and this sends signals to a LED-stribe that have been implemented on the backside of the box - lighting up the roof and creating a safe feeling ""inside"" of the prototype.",,"The whole idea with the prototype in Digital neighbourhood, is to enable the municipality to move around in the city - from one local area to another. The prototype is therefore mobile and can easily be transported in a car. There is a built in router with a sim-card, that makes it independent in regards to the Wifi-situation in the area, and there is one standard power cable.",https://vimeo.com/channels/digitalurbanenvironments/286516638,"City of Aarhus, Citizens' Services, Interactive Spaces Lab at The Alexandra Institute, City of Aarhus, Citizens' Services",Interactive Spaces Lab at the Alexandra Institute,"City of Aarhus, Citizens' Services","Citizens in many different neighbourhoods in the city of Aarhus in Denmark. Among others, Harlev, Beder, Malling and the Center of Aarhus. Smart Aarhus (a test facility for Smart City solutions and a showroom for new smart city initiatives) has also been a part of the development, the initiative Smart Mobility, the community Sager der Samler (translated: 'Uniting Causes'), Aarhus School of Architecture, ODAA - Open Data Aarhus, Aarhus University, Institute for Computer Science, Aarhus University, Anthropology, The Scandinavian School of Design",Innovation project,The project addressees A. The need for new alternative forms of dialogue between citizens and the public sector. B. New ways to develop and strengthen the digital development in Aarhus. C. The need to find new knowledge about 'neighbourhoods and public spaces' as a frame for Citizens' services and citizen involvement.,"There has been a lot of impact in the project, but most of all there has been an increased number of concrete ideas and comments coming in the from the citizens, from all of the cities. This has been helpful, especially looking at the development of local areas. In general, there has also been an increased sense of ownership at the citizens, in relation to the area they live in.",The prototype consists of; - A physical prototype where ideas can be delivered by speak - A backend where the ideas can be organised and handled (and also shared with the Open Data platform in Aarhus) - A frontend where the ideas can be visualised All three parts can all be used as tools in different phases.,,"The project is ongoing, and has no definite deadline - anew way of communicating with the citizens will always be a case of matter. The city of Aarhus is trying to spread the word about the prototype, and is also encouraging other cities in Denmark to borrow it in order to qualifying the way it's being used. 4 new prototypes were just developed, and they are connected to each other in realtime.","City of Aarhus, Citizens' Services",,,,,,,
"CHAVE DO CENTRO OR ""THE KEY TO DOWNTOWN""",2017,"Brazil, Sao Paulo",Media art/projection on facade festival take on the task of reclaiming a 3-km long overpass that destroyed urban cohesion of downtown Sao Paulo.,"['#Brazil', '#2017', '#Spatial media art', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/69/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/69,Visualfarm,None,"Alexis Anastasiou, Roberta Carvalho, VJ Vigas and Felipe Mororzini",Thales Augusto,,,"Alexis Anastasiou, Roberta Carvalho, VJ Vigas and Felipe Mororzini",,Pandoras Box Coolux Media server and Resolume,Miguel Adianio e Sergio Cordoba,"The imagens were projected on non treated standard brick building, mostly build during the 50s and 60s.","Projection and Projection mapping techniques were used for content creation. One the works also used invited children from the neighborhood to crayon paint in paper printed blue prints of the building facade, in a sort of low-tech projection mapping. Other works used video or 3d modeled and animated content.","Each work was around 1920 x 1200 pixels, 30 frames per second content animated content. Media servers and laser projectors were placed inside people's home, helping the project achieve low cost necessary to have the projections for 30 nights.","Minhocí£o sits now in what is a depleted neighborhood that becomes not so safe at night, specially if theres only a few people walking on the streets. The main goal of the festival was to help change that by creating a artist attraction open to the public during night time.",We are enclosing a video that documents the works of all 4 artists as well as show reactions from the audience.,"Joao Vitor Grassi, visualfarm diagram, Cleber Portaro, Cleber Portaro",Thales Augusto,EPSON,"Associaíçí£o Parque Minhocí£o, an activist group that was instrumental in lobbying authorities to increase opening hours for pedestrians in the Minhocí£o overpass helped finding building for projections and placement for equipment, being instrumental in the organization of the Festival. Most residents and buildings that allowed the use of their real state as projection surfaces or laser-projectos sites did that in a semi-voluntary base.",Chave do Centro,"Use of public media art to attract pedestrians and ""populate"" neighborhoods deserted during nighttime. Help children interact with media-architecture by way of installations that let children's small size paper drawings become giant sized projections.","Helped convincing authorities and local residents of the possibility of turning a overpass build for cars into a dual-purpose are, opening longer hours for enjoyment and sports and closing it to cars. The overpass becomes a park now, from 8PM until 7AM on weekdays and during the whole weekends.","Relationships and procedures to use private owned real-state as projection sites, interaction between children and media art, use of low wattage laser projectos as a tools that allowed to use of residential electric infrastructure for high performance large-scale projections.","Pionner low-watattage but high brightness Epson laser projectors (25 thousand ansilumens), low cost resolume media servers, automated management of projectors allowed the whole festival that lasted 30 nights in 4 sites to cost under US$ 130.000 dollars.","Aim to recreate the festival in a longer term, expanding the permanence of installations from 30 nights to 6 months.","Chave do Centro Festival, produced by Visualfarm","Alexis Anastasiou, Roberta Carvalho, VJ Vigas and Felipe Mororzini",non-permanent project,none,,From 10 to 20 mm pixel distance was used in all the 4 installations.,,
BIOLUMEN,2018,"Brazil, Sao Paulo","Site-specific permanent installation made of LED, metal and programming software/hardware system. Located under viaduct with the purpose to transform the area into safer and presentable area to passers-by and local community.","['#Brazil', '#2018', '#Spatial media art', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/74/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/74,Leandro Mendes a.k.a. Vigas,Rizomatique,Leandro Mendes a.k.a. Vigas,Rizomatique,Tinti Light,Rizomatique,Leandro Mendes a.k.a. Vigas,Minimad/ Lumikit x8/custom pixel LED Controller,MadMapper,,The 78 LED bars (of 1.5m each) are fixed on the concreted ceiling coupled by metal grid. The LED bars follow a transverse pattern along the catwalk lightning the path for the passers-by.,"slow movements combining colors that remit to the tranquil environment, always prioritizing the illumination of space.",the total number of pixels distributed in the installation is 3.510. this distribution is done randomly respecting the alignments in the x and y axes,The site counts a large number of crimes due to low light despite its great location being seen as a gateway to a neighborhood with rich nightlife. some homeless live in the place which causes the residents to avoid going there in the evening,,"Leandro Mendes a.k.a. Vigas, Leandro Mendes a.k.a. Vigas, Leandro Mendes a.k.a. Vigas, Leandro Mendes a.k.a. Vigas",Douglas Marote and Ihon Yadoya,Intel,,,,"The installation immediately brought a positive impact on the lives of the people living there, as well as the increase in the number of people who use the passage, as well as creating a new meeting place and artistic manifestations.",,,The idea is to try to find new sponsors to create similar facilities in other parts of the city that suffer from the same problem,Yourmama (TV producer),,,,,3 cm,,
